"name","value"
"Qid","guest4"
"Question","Ist Digitalisierung ohne kapitalistische Zwänge denkbar?"
"Quotayes","42.900002"
"Outlier","1"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","0"
"track_5","1"
"track_6","1"
"track_7","0"
"track_8","0"
"track_9","1"
"track_11","0"
"track_12","0"
"track_13","1"
"track_14","0"
"track_15","0"
"track_16","0"
"track_17","0"
"track_18","1"
"track_19","0"
"track_20","0"
"track_21","1"
"track_22","1"
"track_23","1"
"track_24","1"
"track_25","0"
