"name","value"
"Qid","guest1"
"Question","Ist ein Leben ohne Digitalisierung, Medienkonsum und soziale Medien überhaupt noch möglich?"
"Quotayes","45.5"
"Outlier","1"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","1"
"track_5","0"
"track_6","1"
"track_7","0"
"track_8","0"
"track_9","1"
"track_10","0"
"track_11","0"
"track_12","0"
"track_13","1"
"track_14","0"
"track_15","0"
"track_16","1"
"track_17","1"
"track_18","1"
"track_19","0"
"track_20","1"
"track_21","1"
"track_22","1"
"track_23","0"
"track_24","0"
"track_25","0"
