"name","value"
"Qid","guest8"
"Question","Fördert die Digitalisierung unsere soziale Inkompetenz?"
"Quotayes","0.0"
"Outlier","1"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_5","1"
"track_6","1"
"track_7","0"
"track_8","0"
"track_9","0"
"track_10","0"
"track_11","0"
"track_12","1"
"track_13","0"
"track_14","1"
"track_15","1"
"track_16","1"
"track_17","1"
"track_18","1"
"track_19","1"
"track_20","1"
"track_21","1"
"track_22","0"
"track_23","0"
"track_24","1"
"track_25","1"
"track_26","0"
"track_27","0"
"track_28","1"
"track_29","1"
"track_30","1"
"track_31","1"
"track_32","1"
"track_33","1"
