"name","value"
"Qid","guest2"
"Question","Hast du schon mal ein Fake Profil erstellt?"
"Quotayes","0.0"
"Outlier","1"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","1"
"track_5","1"
"track_6","0"
"track_7","0"
"track_8","0"
"track_9","1"
"track_10","1"
"track_11","1"
"track_12","0"
"track_13","0"
"track_14","1"
"track_15","1"
"track_16","1"
"track_17","0"
"track_18","1"
"track_19","0"
"track_20","0"
"track_21","0"
"track_22","1"
"track_23","0"
"track_24","0"
"track_25","0"
"track_26","1"
"track_27","0"
"track_28","0"
"track_29","1"
"track_30","1"
"track_31","1"
"track_32","1"
"track_33","1"
