"name","value"
"Qid","guest5"
"Question","Hast du schon mal ein Fake Profil erstellt?"
"Quotayes","63.600002"
"Outlier","1"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","0"
"track_5","1"
"track_6","0"
"track_7","1"
"track_8","1"
"track_9","1"
"track_10","0"
"track_11","1"
"track_12","1"
"track_13","1"
"track_14","1"
"track_15","1"
"track_16","1"
"track_17","0"
"track_18","1"
"track_19","1"
"track_20","1"
"track_21","1"
"track_22","0"
"track_23","0"
"track_24","0"
"track_25","0"
