"name","value"
"Qid","guest2"
"Question","Hast du schon mal ein Fake Profil erstellt?"
"Quotayes","48.0"
"Outlier","0"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","0"
"track_5","0"
"track_6","1"
"track_7","1"
"track_8","1"
"track_9","0"
"track_10","0"
"track_11","1"
"track_12","0"
"track_13","1"
"track_14","1"
"track_15","0"
"track_16","1"
"track_17","1"
"track_18","0"
"track_19","0"
"track_20","0"
"track_21","0"
"track_22","1"
"track_23","0"
"track_24","1"
"track_25","0"
"track_26","1"
"track_27","0"
"track_28","1"
