"name","value"
"Qid","guest9"
"Question","Hat Digitalisierung die Menschheit im Positiven verändert?"
"Quotayes","59.100002"
"Outlier","1"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","1"
"track_5","1"
"track_6","1"
"track_7","1"
"track_8","0"
"track_9","1"
"track_10","1"
"track_11","0"
"track_12","1"
"track_13","0"
"track_14","1"
"track_15","0"
"track_16","0"
"track_17","0"
"track_18","1"
"track_19","0"
"track_20","1"
"track_21","0"
"track_22","1"
"track_23","1"
"track_24","1"
"track_25","0"
