"name","value"
"Qid","guest1"
"Question","Hast du schon mal ein Fake Profil erstellt?"
"Quotayes","40.900002"
"Outlier","0"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","1"
"track_5","1"
"track_6","0"
"track_7","0"
"track_8","1"
"track_9","1"
"track_10","1"
"track_11","1"
"track_12","0"
"track_13","0"
"track_14","0"
"track_15","1"
"track_16","0"
"track_17","0"
"track_18","1"
"track_19","0"
"track_20","1"
"track_21","0"
"track_22","0"
"track_23","0"
"track_24","0"
"track_25","0"
