"name","value"
"Qid","guest9"
"Question","Hat Digitalisierung die Menschheit im Positiven verändert?"
"Quotayes","68.200005"
"Outlier","0"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","1"
"track_5","1"
"track_6","1"
"track_7","0"
"track_8","1"
"track_9","1"
"track_10","0"
"track_11","1"
"track_12","0"
"track_13","1"
"track_14","1"
"track_15","1"
"track_16","0"
"track_17","1"
"track_18","0"
"track_19","1"
"track_20","0"
"track_21","1"
"track_22","1"
"track_23","1"
"track_24","0"
"track_25","1"
