"name","value"
"Qid","guest5"
"Question","Ist ein Leben ohne Digitalisierung, Medienkonsum und soziale Medioen überhaupt noch möglich?"
"Quotayes","0.0"
"Outlier","1"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","1"
"track_5","1"
"track_6","0"
"track_7","1"
"track_8","0"
"track_9","1"
"track_10","0"
"track_11","1"
"track_12","1"
"track_13","0"
"track_14","1"
"track_15","1"
"track_16","1"
"track_17","1"
"track_18","0"
"track_19","1"
"track_20","1"
"track_21","0"
"track_22","1"
"track_23","1"
"track_24","1"
"track_25","1"
"track_26","1"
"track_27","0"
"track_28","0"
"track_29","0"
"track_30","0"
"track_31","1"
"track_32","0"
"track_33","1"
