"name","value"
"Qid","guest1"
"Question","Hast du schon mal ein Fake Profil erstellt?"
"Quotayes","76.200005"
"Outlier","0"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","0"
"track_5","0"
"track_6","1"
"track_7","0"
"track_8","1"
"track_9","1"
"track_10","1"
"track_11","0"
"track_12","1"
"track_13","1"
"track_14","1"
"track_15","1"
"track_16","1"
"track_17","1"
"track_18","1"
"track_19","1"
"track_20","1"
"track_21","1"
"track_22","0"
"track_23","1"
"track_24","1"
