"name","value"
"Qid","guest6"
"Question","Sind Emotionen berechenbar?"
"Quotayes","27.300001"
"Outlier","0"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","0"
"track_5","0"
"track_6","0"
"track_7","1"
"track_8","1"
"track_9","1"
"track_10","0"
"track_11","0"
"track_12","0"
"track_13","0"
"track_14","1"
"track_15","0"
"track_16","1"
"track_17","0"
"track_18","0"
"track_19","0"
"track_20","0"
"track_21","0"
"track_22","0"
"track_23","0"
"track_24","1"
"track_25","0"
