"name","value"
"Qid","guest8"
"Question","Fördert die Digitalisierung unsere soziale Inkompetenz?"
"Quotayes","44.0"
"Outlier","0"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","0"
"track_5","0"
"track_6","0"
"track_7","1"
"track_8","1"
"track_9","0"
"track_10","1"
"track_11","1"
"track_12","1"
"track_13","0"
"track_14","1"
"track_15","1"
"track_16","0"
"track_17","1"
"track_18","1"
"track_19","0"
"track_20","0"
"track_21","0"
"track_22","0"
"track_23","1"
"track_24","0"
"track_25","0"
"track_26","0"
"track_27","1"
"track_28","0"
