"name","value"
"Qid","guest10"
"Question","Hast du etwas zu verbergen?"
"Quotayes","52.0"
"Outlier","1"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","1"
"track_5","1"
"track_6","0"
"track_7","0"
"track_8","1"
"track_9","1"
"track_10","0"
"track_11","0"
"track_12","0"
"track_13","0"
"track_14","0"
"track_15","0"
"track_16","0"
"track_17","1"
"track_18","0"
"track_19","1"
"track_20","0"
"track_21","0"
"track_22","1"
"track_23","1"
"track_24","1"
"track_25","1"
"track_26","1"
"track_27","1"
"track_28","1"
