"name","value"
"Qid","guest4"
"Question","Ist Digitalisierung ohne kapitalistische Zwänge denkbar?"
"Quotayes","50.0"
"Outlier","0"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","1"
"track_5","0"
"track_6","0"
"track_7","1"
"track_8","1"
"track_9","1"
"track_10","1"
"track_11","0"
"track_12","0"
"track_13","1"
"track_14","0"
"track_15","0"
"track_16","0"
"track_17","0"
"track_18","1"
"track_19","1"
"track_20","0"
"track_21","1"
"track_22","1"
"track_23","0"
"track_24","0"
"track_25","1"
